Reference,Value,Footprint,Qty,LCSC number,,1,20,100,1000,,Order qtt,Unit Price,Order qtt,Unit Price,Order qtt,Unit Price,Order qtt,Unit Price,,total for 1,unit $,total for 20,unit $,total for 100,unit $,total for 1000,unit $,,
BT1,Battery,,1,C7498147,,1,20,100,1000,,5,0.1179,50,0.0953,500,0.0750,,,,0.5895,0.1179,2.3580,0.1179,9.5300,0.0953,75.0000,0.0750,,
C1,150u,CP_Elec_6.3x7.7,1,C2895737,,1,20,100,1000,,10,0.0327,100,0.0266,1000,0.0204,,,,0.3270,0.0327,0.6540,0.0327,2.6600,0.0266,20.4000,0.0204,,
C2,10n,0603,1,C7503504,,1,20,100,1000,,100,0.0016,100,0.0016,1000,0.0013,,,,0.1600,0.0016,0.1600,0.0016,0.1600,0.0016,1.3000,0.0013,,
C3,1u,0603,1,C6119849,,1,20,100,1000,,100,0.0029,100,0.0029,1000,0.0022,,,,0.2900,0.0029,0.2900,0.0029,0.2900,0.0029,2.2000,0.0022,,
C4,4.7u,0603,1,C8032,,1,20,100,1000,,50,0.0042,500,0.0034,1500,0.0029,,,,0.2100,0.0042,0.2100,0.0042,0.4200,0.0042,4.3500,0.0029,,
C5,22p,0603,1,C597198,,1,20,100,1000,,50,0.0078,500,0.0063,1500,0.0055,,,,0.3900,0.0078,0.3900,0.0078,0.7800,0.0078,8.2500,0.0055,,
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D21,D22",1N4007,SOD-123FL,12,C3008061,,12,240,1200,12000,,100,0.0038,1000,0.0032,3000,0.0024,9000,0.00322,,0.3800,0.0456,1.1400,0.0456,3.9600,0.0033,36.1800,0.0030,,
"D11,D14,D16,D18,D20",LED_GREEN,,5,C965804,,5,100,500,5000,,100,0.0041,100,0.0041,1000,0.0032,4000,0.00270,,0.4100,0.0205,0.4100,0.0205,3.2000,0.0160,14.0000,0.0028,,
"D12,D13,D15,D17,D19",LED_YELLOW,,5,C7429912,,5,100,500,5000,,20,0.0065,200,0.0051,600,0.0044,4000,0.00400,,0.1300,0.0325,1.0200,0.0255,2.6400,0.0220,21.2800,0.0205,,
L1,10u,0805,1,C2909263,,1,20,100,1000,,50,0.0098,500,0.0077,1500,0.0066,,,,0.4900,0.0098,0.4900,0.0098,0.9800,0.0098,9.9000,0.0066,,
"Q1,Q2,Q3,Q4,Q5",BC107,SOT-23,5,C2891818,,5,100,500,5000,,50,0.0051,500,0.0040,3000,0.0035,,,,0.2550,0.0255,0.5100,0.0255,2.0000,0.0200,21.0000,0.0175,,
"R1,R2",1.6k,0603,2,C2907085,,2,40,200,2000,,100,0.0007,1000,0.0006,1000,0.0006,,,,0.0700,0.0014,0.0700,0.0014,0.1400,0.0014,1.2000,0.0012,,
R3,1k,0603,1,C2907113,,1,20,100,1000,,100,0.0008,1000,0.0006,1000,0.0006,,,,0.0800,0.0008,0.0800,0.0008,0.0800,0.0008,0.6000,0.0006,,
"R4,R5,R6,R7,R8",470,0603,5,C3017744,,5,100,500,5000,,100,0.0008,1000,0.0006,5000,0.0005,,,,0.0800,0.004,0.0800,0.0040,0.6000,0.0030,2.5000,0.0025,,
"R9,R10,R11,R12,R13",169,0603,5,C103337,,5,100,500,5000,,100,0.0005,100,0.0005,100,0.0005,100,0.0005,,0.0500,0.0025,0.0500,0.0025,0.2500,0.0025,2.5000,0.0025,,
R19,220k,0603,1,C352347,,1,20,100,1000,,100,0.0005,1000,0.0004,1000,0.0004,,,,0.0500,0.0005,0.0500,0.0005,0.0500,0.0005,0.4000,0.0004,,
R20,1M,0603,1,C2907115,,1,20,100,1000,,100,0.0007,1000,0.0006,1000,0.0006,,,,0.0700,0.0007,0.0700,0.0007,0.0700,0.0007,0.6000,0.0006,,
SW1,SW_SPDT,Button_Switch_SMD:SW_SPDT_PCM12,1,C963206,,1,20,100,1000,,10,0.0599,100,0.0462,300,0.0409,3000,0.03870,,0.5990,0.0599,1.1980,0.0599,4.6200,0.0462,49.0800,0.0409,,
U1,4017,SOP-16_3.9x9.9mm_P1.27mm,1,C22390236,,1,20,100,1000,,5,0.0901,50,0.0735,150,0.0651,500,0.05890,,0.4505,0.0901,1.8020,0.0901,7.3500,0.0735,58.9000,0.0589,,
U2,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,1,C18723595,,1,20,100,1000,,10,0.0352,100,0.0285,300,0.0252,2500,0.02250,,0.3520,0.0352,0.7040,0.0352,2.8500,0.0285,30.2400,0.0252,,
U3,TPS61041DBV,SOT-23-5,1,C5145241,,1,20,100,1000,,5,0.1708,50,0.1378,500,0.1061,3000,0.09820,,0.8540,0.1708,3.4160,0.1708,13.7800,0.1378,106.1000,0.1061,,
,,,,,,,,,,,,,,,,,,,,6.29,0.67,15.15,0.66,56.41,0.50,465.98,0.40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
